date,indicator,value,period,is_holiday_gap,pct_1d,pct_1w,pct_1m,event_flag
2020-03-13,원/달러 환율,1202.0,D,False,0.7712944332662675,1.4345991561181437,1.7350825222175237,
2020-03-16,원/달러 환율,1222.2,D,False,1.680532445923455,2.5851938895417037,3.2699619771863198,
2020-03-17,원/달러 환율,1219.6,D,False,-0.21273114056620246,1.5148992841684583,3.1635933006259442,
2020-03-18,원/달러 환율,1241.2,D,False,1.7710724827812552,3.7185593716052567,4.4693207642454436,
2020-03-19,원/달러 환율,1237.8,D,False,-0.2739284563325839,3.7726358148893357,3.9469264360094014,
2020-03-20,원/달러 환율,1280.1,D,False,3.4173533688802715,6.49750415973378,6.942355889724294,
2020-03-23,원/달러 환율,1254.1,D,False,-2.0310913209905523,2.610047455408271,4.022893165228925,
2020-03-24,원/달러 환율,1274.6,D,False,1.634638386093612,4.509675303378158,4.67274369713393,
2020-03-25,원/달러 환율,1256.0,D,False,-1.4592813431664742,1.1923944569771194,3.5705450647315784,
2020-03-26,원/달러 환율,1230.7,D,False,-2.014331210191078,-0.5735983195992778,1.1423405654174879,
2020-03-27,원/달러 환율,1227.9,D,False,-0.2275127975948643,-4.07780642137332,0.986923266716011,
2020-03-30,원/달러 환율,1212.4,D,False,-1.2623177783207096,-3.3250936926879637,-0.2386242080144707,
2020-03-31,원/달러 환율,1222.6,D,False,0.8413064995050901,-4.079711281970811,1.8578688661168075,
2020-04-01,원/달러 환율,1220.0,D,False,-0.21266154097823176,-2.86624203821656,2.400537183145879,
2020-04-02,원/달러 환율,1222.2,D,False,0.1803278688524701,-0.6906638498415552,3.0175320296695896,
2020-04-03,원/달러 환율,1237.6,D,False,1.2600229095074411,0.7899666096587543,4.438818565400826,
2020-04-06,원/달러 환율,1229.8,D,False,-0.6302521008403339,1.4351699109204752,3.2230988752727674,
2020-04-07,원/달러 환율,1233.4,D,False,0.2927305252886869,0.8833633240634908,2.6635591809555548,
2020-04-08,원/달러 환율,1222.4,D,False,-0.891843684125182,0.19672131147541183,2.147572491016958,
2020-04-09,원/달러 환율,1219.7,D,False,-0.2208769633507912,-0.20454917362133784,2.2551978537894035,
2020-04-10,원/달러 환율,1216.4,D,False,-0.2705583340165574,-1.7129928894634605,1.198003327787034,
2020-04-13,원/달러 환율,1212.3,D,False,-0.3370601775731785,-1.4229956090421214,-0.810014727540509,
2020-04-14,원/달러 환율,1218.7,D,False,0.5279221314856031,-1.191827468785478,-0.07379468678253565,
2020-04-16,원/달러 환율,1216.7,D,False,-0.1641092967916591,-0.46629581151832467,-1.973896229455363,
2020-04-17,원/달러 환율,1227.5,D,False,0.88764691378318,0.6395015167664164,-0.832121505897554,
2020-04-20,원/달러 환율,1219.3,D,False,-0.6680244399185353,0.23840841828344228,-4.749628935239436,
2020-04-21,원/달러 환율,1218.7,D,False,-0.049208562289826396,0.5279221314856031,-2.822741408181151,
2020-04-22,원/달러 환율,1231.3,D,False,1.0338885697874778,1.0338885697874778,-3.39714420210262,
2020-04-23,원/달러 환율,1235.2,D,False,0.316738406562167,1.5205062874989794,-1.6560509554140124,
2020-04-24,원/달러 환율,1232.0,D,False,-0.2590673575129543,0.36659877800406804,0.10563094174047549,
2020-04-27,원/달러 환율,1235.8,D,False,0.3084415584415634,1.3532354629705479,0.643374867660218,
2020-04-28,원/달러 환율,1230.3,D,False,-0.4450558342773858,0.9518339213916427,1.4764104256020927,
2020-04-29,원/달러 환율,1225.2,D,False,-0.4145330407217651,-0.49541135385364754,0.21266154097825396,
2020-05-04,원/달러 환율,1218.5,D,False,-0.5468494939601776,-1.3520077720207246,-0.12295081967212962,
2020-05-06,원/달러 환율,1227.8,D,False,0.7632334837915478,-0.3409090909090917,0.45819014891179677,
2020-05-07,원/달러 환율,1223.3,D,False,-0.3665092034533357,-1.0114905324486112,-1.1554621848739455,
2020-05-08,원/달러 환율,1226.5,D,False,0.26158750919644813,-0.30886775583190973,-0.26833631484793896,
2020-05-11,원/달러 환율,1217.7,D,False,-0.7174887892376636,-0.6121449559255643,-1.2729041673423147,
2020-05-12,원/달러 환율,1217.8,D,False,0.008212203334156953,-0.057447681575706344,-0.3763089005235698,
2020-05-13,원/달러 환율,1226.7,D,False,0.7308260798160715,-0.08959113862191392,0.5739116176108894,
