date,indicator,value,period
20200429,원/엔 환율,1147.14,D
20200429,원/유로 환율,1326.4,D
202005,기준금리,0.5,M
20200504,원/달러 환율,1218.5,D
20200504,원/엔 환율,1140.65,D
20200504,원/유로 환율,1335.6,D
20200506,원/달러 환율,1227.8,D
20200506,원/엔 환율,1153.13,D
20200506,원/유로 환율,1330.75,D
20200507,원/달러 환율,1223.3,D
20200507,원/엔 환율,1153.19,D
20200507,원/유로 환율,1320.74,D
20200508,원/달러 환율,1226.5,D
20200508,원/엔 환율,1153.86,D
20200508,원/유로 환율,1329.53,D
20200511,원/달러 환율,1217.7,D
20200511,원/엔 환율,1139.69,D
20200511,원/유로 환율,1318.95,D
20200512,원/달러 환율,1217.8,D
20200512,원/엔 환율,1131.21,D
20200512,원/유로 환율,1316.38,D
20200513,원/달러 환율,1226.7,D
20200513,원/엔 환율,1144.15,D
20200513,원/유로 환율,1330.79,D
20200514,원/달러 환율,1226.3,D
20200514,원/엔 환율,1145.59,D
20200514,원/유로 환율,1326.55,D
20200515,원/달러 환율,1227.9,D
20200515,원/엔 환율,1144.74,D
20200515,원/유로 환율,1326.62,D
20200518,원/달러 환율,1229.3,D
20200518,원/엔 환율,1146.15,D
20200518,원/유로 환율,1330.41,D
20200519,원/달러 환율,1231.6,D
20200519,원/엔 환율,1147.28,D
20200519,원/유로 환율,1344.41,D
20200520,원/달러 환율,1224.5,D
20200520,원/엔 환율,1135.43,D
20200520,원/유로 환율,1337.83,D
20200521,원/달러 환율,1227.8,D
20200521,원/엔 환율,1141.24,D
20200521,원/유로 환율,1348.19,D
20200522,원/달러 환율,1230.7,D
20200522,원/엔 환율,1143.88,D
20200522,원/유로 환율,1347.55,D
20200525,원/달러 환율,1236.2,D
20200525,원/엔 환율,1148.08,D
20200525,원/유로 환율,1348.01,D
20200526,원/달러 환율,1242.0,D
20200526,원/엔 환율,1152.83,D
20200526,원/유로 환율,1353.41,D
20200527,원/달러 환율,1237.1,D
20200527,원/엔 환율,1150.63,D
20200527,원/유로 환율,1358.77,D
20200528,원/달러 환율,1233.7,D
20200528,원/엔 환율,1144.91,D
20200528,원/유로 환율,1358.92,D
20200529,원/달러 환율,1239.4,D
20200529,원/엔 환율,1150.63,D
20200529,원/유로 환율,1372.57,D
202006,기준금리,0.5,M
20200601,원/달러 환율,1237.6,D
20200601,원/엔 환율,1149.12,D
20200601,원/유로 환율,1375.59,D
20200602,원/달러 환율,1227.8,D
20200602,원/엔 환율,1141.66,D
20200602,원/유로 환율,1366.66,D
20200603,원/달러 환율,1224.1,D
20200603,원/엔 환율,1126.39,D
20200603,원/유로 환율,1367.38,D
20200604,원/달러 환율,1216.9,D
20200604,원/엔 환율,1116.52,D
20200604,원/유로 환율,1366.82,D
20200605,원/달러 환율,1217.4,D
20200605,원/엔 환율,1114.89,D
20200605,원/유로 환율,1380.65,D
20200608,원/달러 환율,1213.1,D
20200608,원/엔 환율,1106.29,D
20200608,원/유로 환율,1371.35,D
20200609,원/달러 환율,1204.2,D
20200609,원/엔 환율,1110.53,D
20200609,원/유로 환율,1360.08,D
20200610,원/달러 환율,1197.7,D
20200610,원/엔 환율,1111.3,D
20200610,원/유로 환율,1358.25,D
20200611,원/달러 환율,1194.4,D
20200611,원/엔 환율,1117.2,D
20200611,원/유로 환율,1359.41,D
20200612,원/달러 환율,1192.8,D
20200612,원/엔 환율,1116.91,D
20200612,원/유로 환율,1347.21,D
20200615,원/달러 환율,1206.6,D
20200615,원/엔 환율,1123.62,D
20200615,원/유로 환율,1357.12,D
20200616,원/달러 환율,1210.8,D
20200616,원/엔 환율,1127.27,D
20200616,원/유로 환율,1371.29,D
20200617,원/달러 환율,1206.6,D
20200617,원/엔 환율,1123.73,D
20200617,원/유로 환율,1358.93,D
20200618,원/달러 환율,1214.5,D
20200618,원/엔 환율,1135.26,D
20200618,원/유로 환율,1365.89,D
20200619,원/달러 환율,1213.0,D
20200619,원/엔 환율,1133.91,D
20200619,원/유로 환율,1359.47,D
20200622,원/달러 환율,1212.0,D
20200622,원/엔 환율,1134.57,D
20200622,원/유로 환율,1354.89,D
20200623,원/달러 환율,1213.2,D
20200623,원/엔 환율,1134.63,D
20200623,원/유로 환율,1367.7,D
20200624,원/달러 환율,1210.1,D
20200624,원/엔 환율,1136.83,D
20200624,원/유로 환율,1368.68,D
20200625,원/달러 환율,1202.9,D
20200625,원/엔 환율,1123.52,D
20200625,원/유로 환율,1353.56,D
20200626,원/달러 환율,1205.2,D
20200626,원/엔 환율,1124.62,D
20200626,원/유로 환율,1352.42,D
20200629,원/달러 환율,1198.6,D
20200629,원/엔 환율,1118.25,D
20200629,원/유로 환율,1345.37,D
20200630,원/달러 환율,1200.7,D
20200630,원/엔 환율,1116.05,D
