timestamp,name,ticker,close,open,high,low,volume
2025-11-11 20:00:04,삼성전자,005930.KS,103500.0,103700.0,106000.0,102000.0,28496800,success
2025-11-11 20:00:04,SK하이닉스,000660.KS,619000.0,622000.0,646000.0,604000.0,5662687,success
2025-11-12 08:00:03,코스피,^KS11,4106.39013671875,0.0,0.0,0.0,0,success
2025-11-12 08:00:03,코스닥,^KQ11,884.27001953125,0.0,0.0,0.0,0,success
2025-11-12 08:00:03,KODEX200,069500.KS,58195.0,58450.0,59530.0,57660.0,18535780,success
2025-11-12 08:00:03,삼성전자,005930.KS,103500.0,103700.0,106000.0,102000.0,27742542,success
2025-11-12 08:00:04,SK하이닉스,000660.KS,619000.0,622000.0,646000.0,604000.0,5508697,success
2025-11-12 20:00:03,코스피,^KS11,4150.39013671875,4097.43994140625,4154.6201171875,4088.860107421875,334584,success
2025-11-12 20:00:03,코스닥,^KQ11,906.510009765625,890.989990234375,906.5900268554688,887.2000122070312,1001472,success
2025-11-12 20:00:03,KODEX200,069500.KS,58800.0,58145.0,58950.0,57850.0,12427003,success
2025-11-12 20:00:03,삼성전자,005930.KS,103100.0,103000.0,103900.0,101600.0,19413497,success
2025-11-12 20:00:03,SK하이닉스,000660.KS,617000.0,605000.0,620000.0,601000.0,3006822,success
2025-11-13 08:00:03,코스피,^KS11,4150.39013671875,0.0,0.0,0.0,0,success
2025-11-13 08:00:03,코스닥,^KQ11,906.510009765625,0.0,0.0,0.0,0,success
2025-11-13 08:00:03,KODEX200,069500.KS,58800.0,58145.0,58950.0,57850.0,12427000,success
2025-11-13 08:00:03,삼성전자,005930.KS,103100.0,103000.0,103900.0,101600.0,19413497,success
2025-11-13 08:00:03,SK하이닉스,000660.KS,617000.0,605000.0,620000.0,601000.0,2831484,success
2025-11-13 20:00:03,코스피,^KS11,4170.6298828125,4127.56982421875,4188.5400390625,4123.83984375,424189,success
2025-11-13 20:00:04,코스닥,^KQ11,918.3699951171875,904.3599853515625,920.1300048828125,902.3400268554688,911087,success
2025-11-13 20:00:04,KODEX200,069500.KS,59070.0,58390.0,59360.0,58355.0,12559276,success
2025-11-13 20:00:04,삼성전자,005930.KS,102800.0,102500.0,104200.0,102300.0,27383065,success
