keyword,title,link,description,pubDate,originallink,pubDate_parsed,date
반도체,11월 수출 8.4% 증가한 610억弗…6개월 연속 수출 플러스(1보),https://n.news.naver.com/mnews/article/003/0013630805?sid=101,"<b>반도체</b> 수출은 전년 대비 38.6% 늘어 전 기간 중 최대 실적을 갈아치웠다. 1일 산업통상부가 발표한... 수출을 견인한 건 <b>반도체</b>다. 지난달 <b>반도체</b> 수출은 38.6% 증가한 172억6000만 달러(25조3204억원)로, 지난 9월... ","Mon, 01 Dec 2025 09:05:00 +0900",https://www.newsis.com/view/NISX20251201_0003422918,2025-12-01 09:05:00+09:00,2025-12-01
코스피,"내년 1월부터 증권거래세 상향…<b>코스피</b> 0.05%, 코스닥 0.20%",https://n.news.naver.com/mnews/article/277/0005686788?sid=101,"이를 통해 내년 1월부터 오르는 <b>코스피</b>와 코스닥 증권거래세는 각각 0.05%, 0.20%다. 기획재정부는 이런... 증권거래세법 개정안에는 증권거래세 탄력세율을 <b>코스피</b>의 경우 0%에서 0.05%로, 코스닥과 K-OTC(한국금융투자협회... ","Mon, 01 Dec 2025 09:04:00 +0900",https://view.asiae.co.kr/article/2025120109040485489,2025-12-01 09:04:00+09:00,2025-12-01
코스피,"내년 1월부터 거래세율 <b>코스피</b> 0.05%, 코스닥 0.20%로 상향",https://n.news.naver.com/mnews/article/001/0015770478?sid=101,"감액배당, 대주주는 과세 시작…세법 시행령 개정 내년 1월부터 <b>코스피</b>, 코스닥 증권거래세율이 0.05%포인트... <b>코스피</b> 시장 거래세율은 현재 0%에서 0.05%로 조정된다. 농어촌특별세(0.15%)는 유지된다. 코스닥·K-OTC 시장... ","Mon, 01 Dec 2025 09:00:00 +0900",https://www.yna.co.kr/view/AKR20251201022900002?input=1195m,2025-12-01 09:00:00+09:00,2025-12-01
부동산,10·15 대책에 지방 <b>부동산</b>도 들썩인다…수혜 아파트 찾기 ‘주목’,https://n.news.naver.com/mnews/article/009/0005598668?sid=101,15 <b>부동산</b> 대책이 시행된 이후 지방 광역시의 거래가 활발해진 모습이다. 수도권 규제에 따른 반사이익이 조금씩 실현되고 있다는 분석이다. 실제 이러한 거래량 증가는 집값 상승으로 이어지고 있다. 한국<b>부동산</b>원... ,"Mon, 01 Dec 2025 08:45:00 +0900",https://www.mk.co.kr/article/11480890,2025-12-01 08:45:00+09:00,2025-12-01
코스피,12월 첫 날 ‘사천피 복귀’ 산타 오실까…미국發 훈풍에 <b>코스피</b> 반등 ...,https://n.news.naver.com/mnews/article/016/0002565168?sid=101,美 소비심리 회복세에 3대 주가지수 강세 소매업체 등 ‘주목’ [헤럴드경제=신동윤 기자] <b>코스피</b> 지수가 올해 마지막 달을 맞아 다시 ‘사천피(<b>코스피</b> 4000포인트)’ 고지 탈환에 도전할 것으로 예상된다.... ,"Mon, 01 Dec 2025 08:32:00 +0900",https://biz.heraldcorp.com/article/10626645?ref=naver,2025-12-01 08:32:00+09:00,2025-12-01
코스피,[마켓뷰] 연말 '산타랠리' 기대 속 <b>코스피</b> 반등 시도 전망,https://n.news.naver.com/mnews/article/001/0015770402?sid=101,美소비심리 회복세에 3대 주가지수 강세…소매업체 등 '주목' 올해 마지막 달에 접어든 <b>코스피</b>가 '산타... 직전 거래일인 지난달 28일 <b>코스피</b>는 외국인의 순매도세에 4거래일 만에 하락 전환했다. <b>코스피</b>는 전장보다... ,"Mon, 01 Dec 2025 08:08:00 +0900",https://www.yna.co.kr/view/AKR20251201014700008?input=1195m,2025-12-01 08:08:00+09:00,2025-12-01
경제,"美 트럼프 지지율, 2기 들어 최저...이민, <b>경제</b>에 불만",https://n.news.naver.com/mnews/article/014/0005441998?sid=104,"유권자들이 트럼프의 정책 가운데 이민과 <b>경제</b> 분야에 불만을 드러냈다. 지난달 30일(현지시간) 미국... 이어 외교 41%, 통상(무역) 정책 39%, 이민 37%, <b>경제</b> 36% 순서였다. 의료 정책이 30%로 가장 낮았다. 이스라엘과... ","Mon, 01 Dec 2025 08:02:00 +0900",http://www.fnnews.com/news/202512010731080070,2025-12-01 08:02:00+09:00,2025-12-01
경제,"트럼프 지지율, 집권 2기 최저치 추락…<b>경제</b> 불안·이민 정책 반감 겹쳤...",https://n.news.naver.com/mnews/article/243/0000088861?sid=101,"고물가로 대표되는 <b>경제</b> 불만과 강경한 이민 정책에 대한 반감이 겹치면서 무당층과 라틴계 유권자의... 각종 여론조사 상 트럼프 대통령이 지지율에서 고전하는 가장 큰 이유로는 '<b>경제</b> 문제', 특히 높은 물가가... ","Mon, 01 Dec 2025 07:43:00 +0900",https://economist.co.kr/article/view/ecn202512010001,2025-12-01 07:43:00+09:00,2025-12-01
경제,해싯 美백악관 <b>경제</b>위원장 &quot;트럼프 연준 의장 지명시 기꺼이 수락&quot;,https://n.news.naver.com/mnews/article/123/0002372936?sid=104,케빈 해싯 미국 백악관 국가<b>경제</b>위원회(NEC) 위원장은 자신이 유력한 차기 미 중앙은행인 연방준비제도(Fed... 대통령의 감세 정책 덕분에 내년 <b>경제</b>는 더욱 나아질 것&quot;이라고 주장했다. 트럼프 대통령은 금리 인하에... ,"Mon, 01 Dec 2025 07:41:00 +0900",http://www.joseilbo.com/news/news_read.php?uid=557844&class=42&grp=,2025-12-01 07:41:00+09:00,2025-12-01
경제,트럼프 지지층마저 '<b>경제</b>' 불만…지지율 취임 후 최저치 기록,https://n.news.naver.com/mnews/article/025/0003486559?sid=104,"지지율 부진의 핵심 요인은 ‘<b>경제</b>’. 특히 끊이지 않는 고물가가 직접적인 타격을 주고 있다는 분석이다. 갤럽 조사에서 현안 9개 분야 중 긍정 평가가 36% 이하로 나온 항목은 <b>경제</b>(36%), 중동 정세(33%), 연방 예산(31... ","Mon, 01 Dec 2025 07:18:00 +0900",https://www.joongang.co.kr/article/25386430,2025-12-01 07:18:00+09:00,2025-12-01
